table_name,index_name,index_type,columns,non_unique,raw_definition,module_guess
schema_migrations,PRIMARY,PRIMARY,migration_id,NO,ADD PRIMARY KEY (`migration_id`),Other / Cross-cutting
sections,PRIMARY,PRIMARY,section_id,NO,ADD PRIMARY KEY (`section_id`),Organization / Employee
sections,uk_sect_code,UNIQUE,section_code,NO,ADD UNIQUE KEY `uk_sect_code` (`section_code`),Organization / Employee
sections,fk_sections_head_emp,INDEX,head_employee_id,YES,ADD KEY `fk_sections_head_emp` (`head_employee_id`),Organization / Employee
sections,idx_sect_dept,INDEX,department_id,YES,ADD KEY `idx_sect_dept` (`department_id`),Organization / Employee
sections,idx_sect_category,INDEX,equipment_category,YES,ADD KEY `idx_sect_category` (`equipment_category`),Organization / Employee
sections,idx_sect_active,INDEX,is_active,YES,ADD KEY `idx_sect_active` (`is_active`),Organization / Employee
sysdiagrams,PRIMARY,PRIMARY,diagram_id,NO,ADD PRIMARY KEY (`diagram_id`),Other / Cross-cutting
sysdiagrams,UK_principal_name,UNIQUE,principal_id|name,NO,"ADD UNIQUE KEY `UK_principal_name` (`principal_id`,`name`)",Other / Cross-cutting
users,PRIMARY,PRIMARY,user_id,NO,ADD PRIMARY KEY (`user_id`),Auth & RBAC
users,uk_users_employee_id,UNIQUE,employee_id,NO,ADD UNIQUE KEY `uk_users_employee_id` (`employee_id`),Auth & RBAC
users,idx_users_active,INDEX,is_active|is_locked,YES,"ADD KEY `idx_users_active` (`is_active`,`is_locked`)",Auth & RBAC
users,idx_users_section,INDEX,section_id,YES,ADD KEY `idx_users_section` (`section_id`),Auth & RBAC
users,idx_users_created_at,INDEX,created_at,YES,ADD KEY `idx_users_created_at` (`created_at`),Auth & RBAC
user_roles,PRIMARY,PRIMARY,user_id,NO,ADD PRIMARY KEY (`user_id`),Auth & RBAC
user_roles,idx_ur_role,INDEX,role_id,YES,ADD KEY `idx_ur_role` (`role_id`),Auth & RBAC
